date,data,time
3.1400001,2016-5-26,02
2.92000008,2016-5-26,03
3.01999998,2016-5-26,04
4.1500001,2016-5-26,05
4.05000019,2016-5-26,06
3.4000001,2016-5-26,07
3.6400001,2016-5-26,08
3.98000002,2016-5-26,14
5.80999994,2016-5-26,15
5.63000011,2016-5-26,17
6.32999992,2016-5-26,18
5.40999985,2016-5-26,19
5.84000015,2016-5-26,20
4.96000004,2016-5-26,21
5.30000019,2016-5-26,22
4.96000004,2016-5-26,23
4.90999985,2016-5-27,00
5.53000021,2016-5-27,01
5.53999996,2016-5-27,02
6.03999996,2016-5-27,03
6.32000017,2016-5-27,04
5.71999979,2016-5-27,05
5.53999996,2016-5-27,06
5.5,2016-5-27,07
5.61000013,2016-5-27,08
5.86000013,2016-5-27,09
4.90999985,2016-5-27,10
5.94999981,2016-5-27,11
6.94000006,2016-5-27,12
7.59000015,2016-5-27,13
6.01000023,2016-5-27,14
6.61000013,2016-5-27,15
8.93000031,2016-5-27,16
8.98999977,2016-5-27,17
8.88000011,2016-5-27,18
8.68000031,2016-5-27,19
6.40999985,2016-5-27,20
5.46000004,2016-5-27,21
4.65999985,2016-5-27,22
3.96000004,2016-5-27,23
3.94000006,2016-5-28,00
5.09000015,2016-5-28,01
4.96999979,2016-5-28,02
3.18000007,2016-5-28,03
2.82999992,2016-5-28,04
3.46000004,2016-5-28,05
3.06999993,2016-5-28,06
3.31999993,2016-5-28,07
4.65999985,2016-5-28,08
5.34000015,2016-5-28,09
6.38999987,2016-5-28,10
6.61000013,2016-5-28,11
6.82999992,2016-5-28,12
8.75,2016-5-28,13
9.0,2016-5-28,14
7.69999981,2016-5-28,15
6.94000006,2016-5-28,16
7.88000011,2016-5-28,17
7.03000021,2016-5-28,18
6.1500001,2016-5-28,19
5.94999981,2016-5-28,20
4.44999981,2016-5-28,21
4.8499999,2016-5-28,22
2.94000006,2016-5-28,23
2.72000003,2016-5-29,00
4.42000008,2016-5-29,01
4.01999998,2016-5-29,02
2.30999994,2016-5-29,03
2.58999991,2016-5-29,04
4.30000019,2016-5-29,05
